customer_id,first_name,last_name,city
201,Patricia,Anderson,Tokyo
202,Elizabeth,Smith,New York
203,David,Johnson,Paris
204,Barbara,Lopez,Sydney
205,Robert,Davis,Madrid
206,Susan,Jackson,Tokyo
207,Jennifer,Garcia,London
208,Karen,Gonzalez,Singapore
209,Linda,Thomas,Singapore
210,Robert,Davis,Toronto
211,William,Anderson,Paris
212,James,Anderson,Paris
213,Sarah,Garcia,London
214,Joseph,Lopez,Singapore
215,Elizabeth,Wilson,Paris
216,Joseph,Martinez,Chicago
217,Richard,Thomas,London
218,Linda,Gonzalez,Singapore
219,Barbara,Jackson,Paris
220,Elizabeth,Smith,Sydney
221,William,Smith,Singapore
222,Mary,Martin,Toronto
223,Elizabeth,Davis,Singapore
224,Barbara,Davis,Chicago
225,Karen,Rodriguez,Tokyo
226,Patricia,Johnson,Paris
227,Joseph,Johnson,Singapore
228,Barbara,Jones,London
229,Elizabeth,Hernandez,Sydney
230,Jennifer,Miller,Tokyo
231,Sarah,Lopez,Madrid
232,Thomas,Rodriguez,Tokyo
233,William,Thomas,Paris
234,David,Brown,Toronto
235,John,Jones,Chicago
236,Richard,Moore,Berlin
237,John,Gonzalez,New York
238,William,Moore,London
239,Joseph,Lopez,Paris
240,Charles,Gonzalez,Berlin
241,Patricia,Davis,Toronto
242,James,Martin,Madrid
243,David,Martin,Chicago
244,John,Anderson,Paris
245,Susan,Brown,Tokyo
246,Mary,Johnson,Paris
247,Jessica,Brown,London
248,Linda,Moore,Tokyo
249,Richard,Anderson,Berlin
250,Sarah,Wilson,Singapore
251,Robert,Wilson,London
252,Jessica,Martin,Sydney
253,William,Johnson,Berlin
254,Michael,Anderson,Toronto
255,Linda,Lopez,London
256,Barbara,Moore,Berlin
257,Mary,Gonzalez,Paris
258,Michael,Brown,Toronto
259,John,Miller,Singapore
260,James,Johnson,Berlin
261,Linda,Jones,Singapore
262,Michael,Williams,Madrid
263,Michael,Jackson,Chicago
264,Linda,Hernandez,Tokyo
265,Karen,Smith,Paris
266,Robert,Jones,Madrid
267,William,Garcia,London
268,James,Jones,New York
269,Barbara,Davis,Singapore
270,David,Smith,Tokyo
271,William,Johnson,Tokyo
272,Susan,Taylor,London
273,John,Thomas,Toronto
274,Barbara,Taylor,Singapore
275,Patricia,Anderson,Madrid
276,Linda,Martin,New York
277,Thomas,Martinez,Toronto
278,James,Johnson,Toronto
279,Richard,Wilson,London
280,Jessica,Anderson,London
281,John,Hernandez,Singapore
282,Robert,Williams,Tokyo
283,William,Martin,Singapore
284,Sarah,Hernandez,Sydney
285,Karen,Taylor,Paris
286,Joseph,Taylor,Singapore
287,Susan,Brown,London
288,Sarah,Miller,Sydney
289,Joseph,Davis,Sydney
290,David,Anderson,Sydney
291,Susan,Brown,Berlin
292,Susan,Hernandez,Paris
293,Barbara,Jones,Toronto
294,John,Williams,London
295,John,Wilson,London
296,Barbara,Jones,Madrid
297,Mary,Jackson,Madrid
298,Sarah,Hernandez,London
299,Susan,Lopez,Sydney
300,Mary,Martinez,Singapore
301,Elizabeth,Lopez,London
302,Charles,Taylor,Chicago
303,Robert,Thomas,Chicago
304,Patricia,Lopez,Madrid
305,Barbara,Brown,Paris
306,Charles,Davis,Sydney
307,Sarah,Martin,Singapore
308,Sarah,Smith,Singapore
309,William,Smith,Tokyo
310,William,Martinez,Berlin
